nome,significado,origem,url
Daniele,"Significa “Deus é meu juiz"" ou ""É o Senhor quem me julga"".
Daniele é um nome que surge do francês Danielle. É formado pelos elementos dan e El, do hebraico Daniyyel, que significam respetivamente “juiz, aquele que julga” e “Senhor, Deus”. Dessa junção resulta o seu significado “Deus é meu juiz"" ou ""É o Senhor quem me julga"".",Francesa,https://www.dicionariodenomesproprios.com.br/daniele/
Danielle,"Significa “Deus é meu juiz"" ou ""É o Senhor quem me julga"".
Danielle tem origem no nome hebraico Daniel e é a versão francesa de Daniela.","Hebraica, Francesa",https://www.dicionariodenomesproprios.com.br/danielle/
Danika,Estrela da manhã.,Eslava,https://www.dicionariodenomesproprios.com.br/danika/
Danila,"Significa “o Senhor é meu juiz”, ""Deus é o meu juiz"".
Danila tem origem em Danilu (Danilo em português), nome acadiano - da Acádia, que corresponde atualmente à Nova Escócia, uma província do Canadá - e significa “o Senhor é meu juiz”, ""Deus é o meu juiz"", uma vez que Danilo tem origem hebraica e seu significado corresponde ao de Daniel.",Hebraica,https://www.dicionariodenomesproprios.com.br/danila/
Danita,"Dada, presenteada.",Latina,https://www.dicionariodenomesproprios.com.br/danita/
Danúbia,"Significa “a estrela mais brilhante”; “o Senhor é o juiz daquela que é perfeita como o ouro”; “cauda”.
Danúbia é um nome feminino cuja origem é incerta. Há estudiosos da onomástica que indicam a possibilidade de o mesmo ter surgido a partir de Deneb, nome masculino derivado do árabe dhanab, que significa “cauda”.","Hebraica, Árabe, Egípcia",https://www.dicionariodenomesproprios.com.br/danubia/
Danusa,"Significa ""Deus é meu juiz"", ""É o Senhor quem me julga"" ou “estrela da manhã”, “Vênus”.  
Esse nome tem origem e significado incertos. É provável que seja o diminutivo tcheco e eslovaco de Daniela, a qual é a versão feminina do nome Daniel, que tem a origem a partir hebraico Danyyel, formado pela junção dos elementos dan, que significa literalmente ""juiz”, e El, quer dizer ""Deus”.",Hebraica,https://www.dicionariodenomesproprios.com.br/danusa/
Danuta,Trazida por deus.,Hebraica,https://www.dicionariodenomesproprios.com.br/danuta/
Daphné,"Significa “loureiro”, “vitoriosa”.
Daphné surge a partir da variante francesa de Dafne, Daphne (sem acento).","Grega, Francesa",https://www.dicionariodenomesproprios.com.br/daphne/
Dara,"Significa “carvalho”; “estrela”; ""rico""; “mantenedora”, “que suporta”, “Deus”, “Senhor das espécies”, “rei”.
De acordo com estudiosos, a origem e significado do nome Dara apresenta inúmeras possibilidades.","Persa, Sânscrita, Irlandesa",https://www.dicionariodenomesproprios.com.br/dara/
Daria,Forma feminina de Daros.,Grega,https://www.dicionariodenomesproprios.com.br/daria/
Darlene,"Significa “querida”, “amada”.
É um nome de origem inglesa, a partir da combinação da palavra darling, que quer dizer “querida, amada” com o sufixo popular lene.",Inglesa,https://www.dicionariodenomesproprios.com.br/darlene/
Darlene Glória,"Exigente consigo e com todos à sua volta, tem uma grande força interior e impõe respeito sem se esforçar para isso.",,https://www.dicionariodenomesproprios.com.br/darlene-gloria/
Daslange,Junção dos nomes dário e Solange.,Latina,https://www.dicionariodenomesproprios.com.br/daslange/
Davena,Forma feminina de David.,Latina,https://www.dicionariodenomesproprios.com.br/davena/
Dávila,"Significa “descendente de Ávila”, “originário de Ávila” ou ""aquela que vem do vilarejo"".
Dávila é um nome feminino e, supostamente, originado a partir do espanhol D’Ávila, que quer dizer “oriundo de Ávila”. É também considerado um tradicional nome de família castelhano.",Latina,https://www.dicionariodenomesproprios.com.br/davila/
Davina,"Significa “a amada”, “a querida”.
Davina é um nome escocês que foi encontrado por volta do século XVII. Ele corresponde à forma feminina de Davi e significa “a amada”.","Hebraica, Inglesa, Escocesa",https://www.dicionariodenomesproprios.com.br/davina/
Dayane,"Significa ""divina"", ""brilhante"". “iluminada”.
Dayane é um nome que representa divindade e resplendor em decorrência da sua origem etimológica. É, assim, referência da perfeição.","Latina, Francesa",https://www.dicionariodenomesproprios.com.br/dayane/
Dayanne,"Significa ""divina"", ""brilhante"", “iluminada”.
Esse nome é a variante de Dayane, que é uma variação de Daiane, tradução fonética de Diane, o qual é, por sua vez, uma variante francesa de Diana, palavra que deriva de dius e significa literalmente “divindade”, bem como está correlacionada com a palavra dyut, que em sânscrito significava ""brilhar"", ""resplandecer"", ""iluminar"", ""irradiar"".","Latina, Francesa",https://www.dicionariodenomesproprios.com.br/dayanne/
Dayse,"Significa “olho do dia”.
Tem origem na pronúncia do nome inglês Daisy, o mesmo que Deise, que deriva  do inglês antigo daeges ege, daeges eage, do inglês médio daies, que significa literalmente “olho do dia”.",Inglesa,https://www.dicionariodenomesproprios.com.br/dayse/
Déa,"Significa ""deusa""; “muita feminilidade” ou “presente de Deus”, “dádiva divina”.  
Esse nome feminino tem várias origens e significados diferentes. A partir do latim dea, significa ""deusa"".","Grega, Latina",https://www.dicionariodenomesproprios.com.br/dea/
Debbie,Apelido britânico carinhoso para Débora.,Britânica,https://www.dicionariodenomesproprios.com.br/debbie/
Débora Regina,"Significa “abelha rainha” ou “a melhor trabalhadora”.
Débora Regina é um nome feminino composto, formado a partir da junção de Débora com Regina.","Hebraica, Latina",https://www.dicionariodenomesproprios.com.br/debora-regina/
Deborah,"Significa “abelha”.
É a variante original do nome Débora, e vem do hebraico Debhoráh, que quer dizer “abelha”. Tem como origem semítica o elemento d-b-r, que significa “zumbir, zunir” e dabhár, que significa “palavra”.",Hebraica,https://www.dicionariodenomesproprios.com.br/deborah/
Debra,Forma diminutiva para Débora.,Hebraica,https://www.dicionariodenomesproprios.com.br/debra/
Déia,Deusa. Também pode representar um apelido para Andréia.,Latina,https://www.dicionariodenomesproprios.com.br/deia/
Deífila,Filha do rei de Argos.,Mitológica,https://www.dicionariodenomesproprios.com.br/deifila/
Deise,"Significa “olho do dia”.
Vem do inglês Daisy, derivado do inglês antigo daeges ege, daeges eage, do inglês médio daies, que quer dizer literalmente “olho do dia”.",Inglesa,https://www.dicionariodenomesproprios.com.br/deise/
Deisiane,"significa ""aquela que é atenciosa"", ""mulher gentil"", ""pessoa agradável e delicada"".
Estudiosos tendem a acreditar que Deisiane seja uma variante do nome Deise, que por sua vez, vem do inglês Daisy e significa literalmente “olho do dia”.",Latina,https://www.dicionariodenomesproprios.com.br/deisiane/
Dejanir,Que vence os heróis.,Grega,https://www.dicionariodenomesproprios.com.br/dejanir/
Dejanira,"Significa “a que queima os homens”, “a que combate contra os homens”, “a que vence os heróis”.
Dejanira é um nome de origem grega cujo significado “a que queima os homens” é o resultado da junção dos elementos deís, que significa “tocha” e anér, que significa “homem”, no sentido de esposo.",Grega,https://www.dicionariodenomesproprios.com.br/dejanira/
Delamar,Aquela que vem do mar.,Latina,https://www.dicionariodenomesproprios.com.br/delamar/
Delamare,Do pântano do mar.,Latina,https://www.dicionariodenomesproprios.com.br/delamare/
Delamari,Aquela que veio do mar.,Latina,https://www.dicionariodenomesproprios.com.br/delamari/
Delfina,"Significa ""golfinho"", ""delfim"", ""nascido em Delfos"", ""habitante de Delfos"".
A origem do nome Delfina é grega. Surge do grego delphís, delphínos.","Grega, Latina, Italiana, Espanhola",https://www.dicionariodenomesproprios.com.br/delfina/
Delta,Quarta letra do alfabeto grego.,Grega,https://www.dicionariodenomesproprios.com.br/delta/
Demeter,Deusa da agricultura.,Grega,https://www.dicionariodenomesproprios.com.br/demeter/
Demétria,"Significa “consagrada à Deméter”, “consagrada à mãe terra”.
É a variante feminina de Demétrio, nome que tem origem no grego Demétrios, que quer dizer literalmente “consagrado à Deméter”.",Grega,https://www.dicionariodenomesproprios.com.br/demetria/
Demóstenes,Tem a força do povo.,Grega,https://www.dicionariodenomesproprios.com.br/demostenes/
Dena,Pequeno vale.,Indígena,https://www.dicionariodenomesproprios.com.br/dena/
